species	clade	taxa1	n_monomers	pct_box_le2mm	pct_box_le3mm	pct_null_le3mm	enrichment_le3mm	box_le2mm_count	ev_canonical	ev_broad	ev_degenerate	ev_pwm_fimo	lines_positive
icapocory	Invertebrate	Coleoptera	19814	0	0	0.07	0	0	0	0	0	0	0
bgalgal	Vertebrates	Aves	21867	0	0	0.1	0	0	0	0	0	0	0
bfalbia	Vertebrates	Aves	27005	0	0	0.51	0	0	0	0	0	0	0
fthumac	Vertebrates	Actinopterygii	2582	0	0	0.39	0	0	0	0	0	0	0
falosap	Vertebrates	Actinopterygii	34536	0	0	0.07	0	0	0	0	0	0	0
fdanrer	Vertebrates	Actinopterygii	80307	0	0	0.28	0	0	0	0	0	0	0
ftaubub	Vertebrates	Actinopterygii	28595	0	0	0.21	0	0	0	0	0	0	0
fphogun	Vertebrates	Actinopterygii	2907	0	0	0.24	0	0	0	0	0	0	0
fthualb	Vertebrates	Actinopterygii	7328	0	0	0.23	0	0	0	0	0	0	0
kaaplturb	Invertebrate	Tunicata	85503	0	0	0.03	0	0	0	0	0	0	0
fbarbab	Vertebrates	Actinopterygii	37755	0	0	0.34	0	0	0	0	0	0	0
ilpienapi	Invertebrate	Lepidoptera	48206	0	0	0.28	0	0	0	0	0	0	0
tzbugstol	Invertebrate	Bryozoa	16315	0	0	0.34	0	0	0	0	0	0	0
wplepclav	Invertebrate	Annelida	11798	0	0	0.71	0	0	0	0	1	0	0
tnlinlong	Invertebrate	Nemertea	11432	0	0	0.31	0	0	0	0	0	0	0
xblimfort	Invertebrate	Mollusca	205433	0	0	0.01	0	0	0	0	0	0	0
jadialine	Invertebrate	Cnidaria	6232	0	0	0.06	0	0	0	0	0	0	0
iccanrust	Invertebrate	Coleoptera	214120	0	0	0.12	0	0	0	0	0	0	0
icrhafulv	Invertebrate	Coleoptera	938153	0	0	0.03	0	0	0	0	0	0	0
icmalbipu	Invertebrate	Coleoptera	20075	0	0	0.39	0	0	0	0	0	0	0
iccocsept	Invertebrate	Coleoptera	60547	0	0	0.2	0	0	0	0	0	0	0
iccetaura	Invertebrate	Coleoptera	25625	0	0	0.3	0	0	0	0	0	0	0
lperiangu	Viridiplantae	Monocots	157748	0	0	0.02	0	0	0	0	0	0	0
mlemcat	Vertebrates	Mammalia	805223	0	0	0.13	0	0	0	0	0	0	0
laaliplan	Viridiplantae	Monocots	4223	0	0	0.88	0	0	0	0	0	0	0
lpscisylv	Viridiplantae	Monocots	20356	0	0	0.01	0	0	0	0	0	0	0
drtrifrag	Viridiplantae	Dicots	36933	0	0	0.41	0	0	0	0	1	0	0
dcpolavic	Viridiplantae	Dicots	51994	0	0	0.23	0	0	0	0	0	0	0
dcmoetrin	Viridiplantae	Dicots	314100	0	0	0.08	0	0	0	0	0	0	0
drroscani	Invertebrate		261308	0	0	0.16	0	0	0	0	0	0	0
datanvulg	Viridiplantae	Dicots	13703	0	0	0.2	0	0	0	0	0	0	0
dabalnigr	Viridiplantae	Dicots	52529	0	0	0.04	0	0	0	0	0	0	0
dashearve	Viridiplantae	Dicots	70557	0	0	0.01	0	0	0	0	0	0	0
